2026-06-02 14:03:37.347 [DEBUG] MIDI fader physical ch 3, logical ch 3: 40.65% raw 6660; touched=True
2026-06-02 14:03:37.353 [DEBUG] MIDI received: status E2, data1 5C, data2 34, channel 3, command E0
2026-06-02 14:03:37.353 [DEBUG] MIDI fader physical ch 3, logical ch 3: 41.19% raw 6748; touched=True
2026-06-02 14:03:37.358 [DEBUG] MIDI received: status E2, data1 48, data2 35, channel 3, command E0
2026-06-02 14:03:37.358 [DEBUG] MIDI fader physical ch 3, logical ch 3: 41.85% raw 6856; touched=True
2026-06-02 14:03:37.364 [DEBUG] MIDI received: status E2, data1 20, data2 36, channel 3, command E0
2026-06-02 14:03:37.364 [DEBUG] MIDI fader physical ch 3, logical ch 3: 42.39% raw 6944; touched=True
2026-06-02 14:03:37.369 [DEBUG] MIDI received: status E2, data1 74, data2 36, channel 3, command E0
2026-06-02 14:03:37.369 [DEBUG] MIDI fader physical ch 3, logical ch 3: 42.9% raw 7028; touched=True
2026-06-02 14:03:37.374 [DEBUG] MIDI received: status E2, data1 60, data2 37, channel 3, command E0
2026-06-02 14:03:37.374 [DEBUG] MIDI fader physical ch 3, logical ch 3: 43.56% raw 7136; touched=True
2026-06-02 14:03:37.379 [DEBUG] MIDI received: status E2, data1 34, data2 38, channel 3, command E0
2026-06-02 14:03:37.379 [DEBUG] MIDI fader physical ch 3, logical ch 3: 44.07% raw 7220; touched=True
2026-06-02 14:03:37.385 [DEBUG] MIDI received: status E2, data1 20, data2 39, channel 3, command E0
2026-06-02 14:03:37.385 [DEBUG] MIDI fader physical ch 3, logical ch 3: 44.73% raw 7328; touched=True
2026-06-02 14:03:37.390 [DEBUG] MIDI received: status E2, data1 04, data2 3A, channel 3, command E0
2026-06-02 14:03:37.390 [DEBUG] MIDI fader physical ch 3, logical ch 3: 45.34% raw 7428; touched=True
2026-06-02 14:03:37.396 [DEBUG] MIDI received: status E2, data1 64, data2 3A, channel 3, command E0
2026-06-02 14:03:37.396 [DEBUG] MIDI fader physical ch 3, logical ch 3: 45.93% raw 7524; touched=True
2026-06-02 14:03:37.401 [DEBUG] MIDI received: status E2, data1 5C, data2 3B, channel 3, command E0
2026-06-02 14:03:37.401 [DEBUG] MIDI fader physical ch 3, logical ch 3: 46.66% raw 7644; touched=True
2026-06-02 14:03:37.406 [DEBUG] MIDI received: status E2, data1 30, data2 3C, channel 3, command E0
2026-06-02 14:03:37.406 [DEBUG] MIDI fader physical ch 3, logical ch 3: 47.17% raw 7728; touched=True
2026-06-02 14:03:37.410 [DEBUG] vMix HTTP fader command sent. Function=SetVolume, Input=649366ac-21fd-4181-b0be-934deafea94f, Value=47
2026-06-02 14:03:37.412 [DEBUG] MIDI received: status E2, data1 04, data2 3D, channel 3, command E0
